GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Privacy Dashboard,com.privacydashboard.application.data.generator,DataGenerator,1711,0,86,0,253,0,46,0,3,0
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiUserAppRelationController,380,0,40,0,78,0,28,0,8,0
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiRightRequestController,649,0,72,0,132,0,51,0,15,0
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiAppController,321,0,30,0,69,0,26,0,11,0
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiPrivacyNoticeController,501,0,42,0,113,0,33,0,12,0
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiUserController,346,0,32,0,76,0,26,0,10,0
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiNotificationController,434,0,54,0,89,0,41,0,12,0
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiGeneralController,786,1075,106,162,163,213,79,95,20,17
Privacy Dashboard,com.privacydashboard.application.data.apiController,ApiMessageController,275,0,28,0,57,0,21,0,7,0
Privacy Dashboard,com.privacydashboard.application.views.apps,AppsView,984,0,54,0,190,0,55,0,25,0
Privacy Dashboard,com.privacydashboard.application.data.entity,UserAppRelation,0,28,0,0,0,11,0,7,0,7
Privacy Dashboard,com.privacydashboard.application.data.entity,AbstractEntity,0,41,0,6,0,13,0,8,0,5
Privacy Dashboard,com.privacydashboard.application.data.entity,User,0,38,0,0,0,16,0,11,0,11
Privacy Dashboard,com.privacydashboard.application.data.entity,Message,0,31,0,0,0,13,0,9,0,9
Privacy Dashboard,com.privacydashboard.application.data.entity,Notification,0,52,0,0,0,22,0,15,0,15
Privacy Dashboard,com.privacydashboard.application.data.entity,RightRequest,0,66,0,0,0,28,0,19,0,19
Privacy Dashboard,com.privacydashboard.application.data.entity,PrivacyNotice,0,17,0,0,0,7,0,5,0,5
Privacy Dashboard,com.privacydashboard.application.data.entity,IoTApp,0,45,0,0,0,19,0,13,0,13
Privacy Dashboard,com.privacydashboard.application.data,GlobalVariables.QuestionnaireVote,0,21,0,0,0,2,0,1,0,1
Privacy Dashboard,com.privacydashboard.application.data,GlobalVariables.Role,0,21,0,0,0,2,0,1,0,1
Privacy Dashboard,com.privacydashboard.application.data,GlobalVariables,3,23,0,0,1,3,1,1,1,1
Privacy Dashboard,com.privacydashboard.application.data,GlobalVariables.new HashMap() {...},0,33,0,0,0,7,0,1,0,1
Privacy Dashboard,com.privacydashboard.application.data,GlobalVariables.RightType,0,39,0,0,0,2,0,1,0,1
Privacy Dashboard,com.privacydashboard.application.views.usefulComponents,ToggleButton.ChangeEvent,5,0,0,0,2,0,1,0,1,0
Privacy Dashboard,com.privacydashboard.application.views.usefulComponents,MyDialog,6,110,0,0,0,21,2,5,2,5
Privacy Dashboard,com.privacydashboard.application.views.usefulComponents,ToggleButton,13,53,0,0,4,17,2,8,2,8
Privacy Dashboard,com.privacydashboard.application,Application,8,0,0,0,3,0,2,0,2,0
Privacy Dashboard,com.privacydashboard.application.views.questionnaire,SingleQuestionnaire,4428,0,68,0,405,0,58,0,24,0
